,Utility_sampled,Utility,Best_Utility
0,-0.8690947928237124,-0.8690947928237124,-0.5001440951255285
1,-0.8690947928237124,-3.01666939026193,-0.5001440951255285
2,-0.8690947928237124,-1.8184464763197739,-0.5001440951255285
3,-0.8690947928237124,-2.8979645891591788,-0.5001440951255285
4,-0.8690947928237124,-2.756492347530894,-0.5001440951255285
5,-0.8690947928237124,-1.2580463790240255,-0.5001440951255285
6,-0.8690947928237124,-2.0301471724080615,-0.5001440951255285
7,-0.8690947928237124,-3.101724188541937,-0.5001440951255285
8,-0.8690947928237124,-1.6593801430025088,-0.5001440951255285
9,-0.8690947928237124,-1.5158845726943353,-0.5001440951255285
