,Hypervolume
0,2.6462138829769195
1,2.6387808441181306
2,2.641266295730559
3,2.6381578934842107
4,2.8178290511391335
5,2.7490921461179845
6,2.8841974675738813
7,2.8616162948468853
8,2.8588853229482174
9,2.8585547367469033
10,3.170246958676575
11,2.8581479501793825
12,3.1873963239010443
13,3.1982791368980568
14,3.256430398589493
15,3.266956403852715
16,3.2667027371250663
17,3.369743104929901
18,3.4264984351638037
19,3.4291591655177838
20,3.4405017217062612
21,3.448578589702291
22,3.459842152788622
23,3.5168029890600585
