,Hypervolume
0,2.4002007786096087
1,2.3863606739040963
2,2.4053156929983763
3,2.366341258375212
4,2.541706579904864
5,2.5989398929819756
6,3.051869430754438
7,3.0663312904704316
8,3.1873962512117933
9,3.2209362914219573
10,3.221096700755411
11,3.221325745980547
12,3.2222257946418877
13,3.22235000503478
14,3.222415373799787
15,3.233711174459964
16,3.233422082799027
17,3.246241633855946
18,3.2459880750767596
19,3.24580614817913
20,3.2455935938469476
21,3.2449583037453356
22,3.2449583037453356
23,3.2541182112690943
