,Hypervolume
0,2.533765335185131
1,2.5372958655614033
2,2.526531395489809
3,2.5290728460055982
4,2.537539484631383
5,2.5383293659199593
6,2.6994309783722583
7,2.746755308645632
8,2.7719076585674323
9,2.8165654995301566
10,2.8175916582540568
11,2.8182961393811485
12,2.8088918967519056
13,2.8188707482767716
14,2.8411863748150097
15,3.017783264036238
16,3.004945679766605
17,3.0552576946268504
18,3.1286045329578127
19,3.169151278121438
20,3.1050543478471773
21,3.101970472051259
22,3.0056546292994306
23,3.005698131303333
