,Hypervolume
0,2.320698737354198
1,2.0453389854624024
2,2.025
3,2.230017694555126
4,2.237951573581409
5,2.3888854267223567
6,2.582111299336459
7,2.747219006147768
8,2.7703399813255074
9,2.7706192603329307
10,2.7707927809058743
11,2.8144245984018568
12,2.9275720472755253
13,2.9279673615607047
14,3.161222893312675
15,3.1966857839790466
16,3.200189045862073
17,3.2023011565087236
18,3.2068453634108587
19,3.204698196949432
20,3.2229131302340583
21,3.3183552891692694
22,3.25556929444761
23,3.280778764425972
