,Hypervolume
0,1.2886000448617883
1,1.2461011904420147
2,1.247552308002293
3,1.2476053900636423
4,1.4043729626252532
5,1.9647917731754552
6,2.286511644515932
7,2.468651386396277
8,2.5769378435306654
9,2.7546812407989845
10,2.965200246276216
11,3.0912157540075977
12,3.257059603022593
13,3.257059603022593
14,3.274608854279481
15,3.274790309562303
16,3.2748587821291073
17,3.274912907816794
18,3.275194952242069
19,3.2754609396829335
20,3.309319689941691
21,3.306258792622052
22,3.305488005844131
23,3.3054152841692437
