,Hypervolume
0,2.1623523968461527
1,2.1574048276937674
2,2.1561216925511717
3,2.19674115638764
4,2.297258687160676
5,2.3008685937847013
6,2.297258687160676
7,2.5336542316221875
8,2.5255972004115765
9,2.653004954501106
10,2.854679610465463
11,2.886616711038142
12,2.8884081843122047
13,2.88930443807259
14,2.889890289775809
15,2.8914588145659685
16,2.9110883151691276
17,2.9107788924618756
18,2.9105231540741157
19,2.95436539826838
20,3.0103212573914933
21,2.9272414010452
22,2.9836818815540225
23,2.9008428245024493
