,Hypervolume
0,1.8193978768959147
1,1.8034872423856791
2,1.8221674276187618
3,1.8148359686954039
4,2.7134587903882394
5,2.7899857759267324
6,2.8673080920596457
7,2.8673080920596457
8,2.8673080920596457
9,2.8673080920596457
10,2.8678037501337412
11,2.887060777539215
12,2.887626729607504
13,2.8879637733516903
14,2.888254051474366
15,2.9004793671973745
16,2.9073978425672786
17,2.908612877035128
18,2.906600656271773
19,2.906422217229875
20,2.9062477272982408
21,2.9061268646318457
22,2.906746196899058
23,2.9067860166263095
