,Hypervolume
0,1.2908702923325228
1,1.2462328430846332
2,1.2461471785383031
3,1.8799286341769506
4,2.257822546135304
5,2.4706855493423614
6,2.5918654377978037
7,2.788948145104333
8,2.9959115135863037
9,3.1135381630596513
10,3.2199430163615226
11,3.2678064205172657
12,3.2672315834188224
13,3.2990337794284175
14,3.33885022382103
15,3.3384997603873696
16,3.3343537549317457
17,3.334014399364996
18,3.3337849320535815
19,3.343356349762841
20,3.3430807270523184
21,3.342958623906066
22,3.363985914061783
23,3.343050108795504
