,Hypervolume
0,1.965153257608482
1,1.909050109235437
2,1.905752343314786
3,2.0402293748014584
4,2.6414289585664816
5,2.796600895045481
6,2.800353996869543
7,2.801188756732591
8,2.887592020821778
9,3.2213196276770963
10,3.221543094509748
11,3.219088758662528
12,3.2338641085667117
13,3.234404073648018
14,3.2332704161559813
15,3.2344175453650417
16,3.2352358856759045
17,3.251618942516092
18,3.255296199256339
19,3.2551558634813356
20,3.269064277346359
21,3.3715131508354763
22,3.383400823939656
23,3.3816050767944343
