,Hypervolume
0,2.011393776264344
1,1.9846237828714324
2,1.9845456847104817
3,1.9861258041996575
4,2.011285390282942
5,2.2455119738544997
6,2.352957131981074
7,2.5757206412868827
8,2.698985955220534
9,2.698684236790049
10,2.6999065962906403
11,2.7645918792965274
12,2.7796200078025803
13,2.7789162635297977
14,2.7786304668358097
15,2.778402148656859
16,2.778147130684961
17,2.902611885806424
18,2.902014299222637
19,2.9017395819953595
20,2.8897269660654317
21,2.8897269660654317
22,2.8988711108441496
23,2.922474299365321
