,Hypervolume
0,2.6550643997003656
1,2.6262389033771374
2,2.6156709586513713
3,2.619453936140742
4,2.937453600656861
5,3.069262605895058
6,3.062215462839646
7,3.144183525812417
8,3.1769482258445128
9,3.2282298770970534
10,3.218577042801367
11,3.2197066339219704
12,3.2995466002673663
13,3.316559574217535
14,3.3108710125143714
15,3.313753319065294
16,3.2912118043042993
17,3.2757640138498036
18,3.2754218253350538
19,3.306089936300442
20,3.302937833409551
21,3.276133540865999
22,3.289170245389405
23,3.2813413365808404
