,Hypervolume
0,5798.159983908401
1,5813.765885993511
2,5881.919228705659
3,6025.6195754485825
4,6151.789313785526
5,6151.042673780421
6,6152.699347282298
7,6165.818562559667
8,6218.354858836126
9,6245.914615414076
10,6255.3360308602605
11,6255.552578855937
12,6261.198640716251
13,6261.149622209081
14,6262.026299829671
15,6262.030076995314
16,6261.97827931788
17,6262.797087732175
18,6261.97827931788
19,6262.810679428303
20,6263.098789477493
21,6263.099526466384
22,6263.13709857146
23,6263.14421669386
