,Hypervolume
0,6000.459613791287
1,6105.334425035642
2,6130.4461284345525
3,6186.3222461138475
4,6210.824188120467
5,6210.824188120467
6,6227.701409258061
7,6239.819746551464
8,6239.819746551464
9,6239.819746551464
10,6241.975025824793
11,6242.040718272145
12,6242.114132841185
13,6246.457903079696
14,6251.9170843980855
15,6261.875607256641
16,6263.0709127758
17,6262.966944647178
18,6269.389217356873
19,6269.484701329631
20,6269.579566468665
21,6270.932289080451
22,6270.972055136957
23,6271.814831670083
24,6272.951941485435
25,6273.579058163097
26,6273.586642588969
27,6273.965474233795
28,6273.96996630849
29,6274.045674283757
30,6274.06005114686
31,6274.055944703123
32,6274.098272583478
33,6274.331857822332
34,6274.33091011101
