,Hypervolume
0,5894.418729567533
1,6039.122340161497
2,6083.066419177407
3,6148.610817598865
4,6150.509859780683
5,6223.458981133337
6,6223.458981133337
7,6235.953020284151
8,6235.953020284151
9,6240.662678468885
10,6248.262464586876
11,6249.1947244525745
12,6256.185507091815
13,6255.945436727747
14,6255.945436727747
15,6256.716820077845
16,6262.299513570443
17,6268.6701542375995
18,6268.66507018503
19,6268.519483545742
20,6268.546670437207
21,6268.297739540147
22,6268.307593047799
23,6276.217397295757
24,6276.467241466014
25,6276.706412637537
26,6276.707733213798
27,6277.704446927285
28,6277.476092579289
29,6277.48679794618
30,6277.66868521839
31,6277.485538193581
32,6277.480091631109
33,6277.457987396891
34,6277.457301004467
