,Hypervolume
0,5844.346375088344
1,6133.612415900352
2,6142.317903919891
3,6138.414113771469
4,6146.85062590434
5,6195.619803656602
6,6207.8660453327775
7,6208.265860516438
8,6212.803970518267
9,6211.566027835445
10,6213.942397841063
11,6213.952608922007
12,6213.945494036614
13,6214.219609575512
14,6239.190396011754
15,6254.088275413869
16,6254.703429284988
17,6250.217438220414
18,6255.113311279977
19,6255.522561848778
20,6255.928670121774
21,6255.948402723328
22,6255.949510880204
23,6255.818317789779
24,6268.979541313764
25,6269.0077414546595
26,6268.559747464347
27,6268.601880612276
28,6268.915204319941
29,6268.601880612276
30,6269.262340371175
31,6270.119147306272
32,6269.5197627327725
33,6269.5197627327725
34,6270.12737528218
