,Hypervolume
0,5388.067713292219
1,5859.937253723056
2,5917.750235072579
3,5923.650429576141
4,5917.750235072579
5,6041.300724286977
6,6044.509444767365
7,6047.043951088148
8,6102.011360490078
9,6158.652659460551
10,6175.576554140685
11,6176.685765862065
12,6176.389943008602
13,6192.791935744564
14,6199.246962293502
15,6193.52193047322
16,6198.872641733862
17,6208.1774505715875
18,6208.409852925934
19,6210.069421299866
20,6217.349172045735
21,6217.4120472130435
22,6218.78509729931
23,6219.128324486612
24,6218.81325505624
25,6218.916246088411
26,6219.447799033358
27,6218.933516665273
28,6220.419851312636
29,6220.962748430702
30,6220.96660138775
31,6221.353078864915
32,6221.352867860303
33,6221.647552308697
34,6221.648758557029
