,Hypervolume
0,5887.50806542313
1,5891.8637216926745
2,6003.633920954843
3,6089.902315694233
4,6092.071706279796
5,6091.622079476005
6,6211.139961400324
7,6212.8672144596885
8,6213.807408689909
9,6214.89842189163
10,6221.172330397672
11,6253.493467601216
12,6253.744562472479
13,6253.819848294011
14,6253.514083007722
15,6253.349051688874
16,6254.577329044205
17,6254.465233563098
18,6256.167541193169
19,6256.109912899996
20,6256.28898735674
21,6256.4264273795725
22,6256.316036738004
23,6256.317994757539
24,6256.297322190119
25,6257.1782017613805
26,6261.760152232384
27,6261.760152232384
28,6269.434459432743
29,6269.463437238056
30,6269.489007841241
31,6269.45041953381
32,6269.42203849221
33,6269.412324368041
34,6269.412324368041
