,Hypervolume
0,6067.567902497773
1,6020.946139388381
2,6043.206377010149
3,6129.551751037861
4,6132.214086056759
5,6149.031806132425
6,6195.109757196824
7,6234.262180048816
8,6244.273753479209
9,6243.172295328779
10,6246.608567977097
11,6245.484223452477
12,6258.583083251391
13,6258.594757602734
14,6264.2797815012655
15,6264.09960623109
16,6264.296371881379
17,6264.904810866302
18,6265.494167641298
19,6265.713320240262
20,6268.175116194683
21,6268.426630119511
22,6270.737122413494
23,6273.125624201724
24,6273.570678235277
25,6273.287350026816
26,6273.495063924796
27,6273.5474392206415
28,6273.177573199315
29,6273.297953358144
30,6273.818622189383
31,6273.922142721369
32,6274.526713128316
33,6274.536508237706
34,6274.526713128316
