,Utility_sampled,Utility,Best_Utility
0,-1.5406729388858156,-2.834165021810046,-0.38937310239862394
1,-1.4128776807413177,-1.4128776807413177,-0.38937310239862394
2,-1.4128776807413177,-5.0,-0.38937310239862394
3,-0.5495100877508352,-0.5495100877508352,-0.38937310239862394
4,-0.5495100877508352,-0.7576373748041844,-0.38937310239862394
5,-0.5495100877508352,-4.813135210444674,-0.38937310239862394
6,-0.5495100877508352,-0.8674097141713458,-0.38937310239862394
7,-0.5495100877508352,-1.065812992145645,-0.38937310239862394
8,-0.5495100877508352,-0.7516085565334463,-0.38937310239862394
9,-0.5495100877508352,-1.4653054718066456,-0.38937310239862394
10,-0.5495100877508352,-4.249468248545278,-0.38937310239862394
11,-0.46983266309225863,-0.46983266309225863,-0.38937310239862394
