,Hypervolume
0,39785.22222406778
1,39869.472533666165
2,41601.562209592536
3,42634.96719011988
4,47322.796322856506
5,47322.85799141698
6,51575.34512550247
7,51537.17346011688
8,51462.553993344794
9,51400.507804431225
10,55871.61340229912
11,56314.015951797395
12,57259.82287010651
13,57764.767783700096
14,57793.98387563322
15,59067.39356624117
16,61710.11066218727
17,61752.356761491406
18,61752.35726530843
19,61756.25647302504
20,61756.33384202904
21,61571.47850572249
22,61571.49566705905
23,61773.161665275635
