,Hypervolume
0,14483.031029038242
1,14483.024663123788
2,37841.44127817469
3,44399.05924572401
4,44485.907524625334
5,47607.96626007887
6,49476.10608694226
7,49476.10419273464
8,50360.912392083905
9,52210.9907191677
10,52884.06504885042
11,54696.38537232741
12,55376.86795163363
13,55645.40202724199
14,55687.65341309872
15,55633.324168147774
16,55633.32474565851
17,56367.56491220849
18,56367.55913779497
19,56366.421196502226
20,56721.65012736998
21,57055.34957239472
22,57055.27419774103
23,61945.67955469954
