,Hypervolume
0,44833.5020188992
1,51354.71191438231
2,52391.724746646825
3,52640.60920506984
4,52640.6223054217
5,52624.2061784769
6,54256.87049882537
7,54928.94982042983
8,54928.943521186644
9,59545.46337105447
10,59545.487008434866
11,59545.48495550139
12,61043.48240855287
13,62916.507203725545
14,62916.50306049916
15,63032.99747844975
16,63031.19334920481
17,63031.193335970915
18,63034.00832430746
19,63035.84292638187
20,63403.59802057823
21,63403.596961641175
22,63421.73492458466
23,63470.54247629935
