,Hypervolume
0,0.0
1,21000.304848917815
2,17713.68180416288
3,27655.483562904275
4,28637.19519807297
5,28643.261326414828
6,28643.286593644425
7,28643.29034783546
8,31674.30705527754
9,33056.582465529595
10,35127.37774491587
11,37471.87701347021
12,43812.3016189669
13,37668.248281032094
14,38255.837966152365
15,44742.58684700993
16,38126.43098604263
17,38126.42950418987
18,44839.56002279402
19,37104.15673083858
20,38590.596593845075
21,39355.25161115665
22,38285.44138680076
23,39252.505996137865
