,Hypervolume
0,46658.790824315794
1,39136.76067258678
2,46676.56251217626
3,41647.919753384114
4,41638.61070081703
5,45128.23415702084
6,51673.18908608027
7,50574.04694191004
8,51681.22729956132
9,52682.25049216939
10,52684.85409722825
11,52378.00253597222
12,58185.93482598079
13,58985.43702372821
14,59238.5535379857
15,59661.83933108799
16,59667.33882288927
17,59114.249536561125
18,59692.92105266974
19,61335.03379452365
20,61324.123026414134
21,60764.01901961805
22,61324.09716573378
23,61332.33716666279
