,Hypervolume
0,37823.784550546436
1,40860.2720263782
2,40495.37472514528
3,43018.05380464309
4,43206.59953240487
5,43206.620920377725
6,42623.10534558797
7,41005.26338823917
8,40240.662193999815
9,44760.57183441814
10,44654.49391352899
11,52364.87687304958
12,52339.86760348966
13,52413.955047710086
14,55601.57073207492
15,55601.590999153275
16,55523.84725021017
17,55602.82756539026
18,56235.231797216664
19,56235.23095556539
20,56526.692150993156
21,60204.24991353619
22,61145.88746167871
23,61155.241551627565
