,Hypervolume
0,34854.38066138378
1,46215.727827301256
2,46215.420434623345
3,46215.53184215588
4,51829.924006504385
5,51926.854279593645
6,56186.844664958466
7,56227.98691006603
8,60403.567021657946
9,60371.12594640716
10,60374.51177405633
11,61364.26477499647
12,62742.60756669896
13,63266.651790300166
14,63104.544313086066
15,63104.551186409095
16,63513.96793524959
17,63515.0539581934
18,63515.05675924603
19,63520.69596934532
20,63510.67064584058
21,63567.0086819487
22,63568.15817199801
23,63623.480431753094
