,Hypervolume
0,39154.45995689807
1,39156.19249411956
2,40224.04348625735
3,54949.250447253085
4,56530.1860438398
5,56533.342635211404
6,56507.09271726892
7,56507.09363621578
8,56249.26632693905
9,60262.832257357586
10,60249.40787829684
11,60249.40787829684
12,60486.97194172376
13,60486.97194172375
14,60486.97194172376
15,60766.487868794415
16,60787.97716599066
17,60794.38848453332
18,60794.39812025899
19,60794.395844035374
20,60794.39464166039
21,60794.400442133425
22,60794.39814342497
23,60801.53730476678
