,Hypervolume
0,35550.82690913545
1,46428.480599404706
2,52056.728276824884
3,54776.9075882127
4,55821.136748857105
5,57032.354207694036
6,57040.263876960875
7,57148.49221032484
8,60630.194699692365
9,60630.19600269172
10,60631.18853233311
11,60631.189880579404
12,60649.97719166108
13,61278.95524407028
14,61278.95907675865
15,61271.56752513784
16,61271.57175831821
17,63226.9755682457
18,65465.6584977107
19,65467.28622465063
20,65467.67242248595
21,65533.00528014256
22,65533.893492461844
23,65825.05847230693
