,Hypervolume
0,35865.54938523011
1,36582.7022946901
2,41952.18378937029
3,41951.28236918659
4,41952.42353018766
5,41945.718816171124
6,41948.781043658324
7,42392.46961240007
8,41948.78207668741
9,41947.12027069036
10,43870.78352353708
11,49712.73634204095
12,56764.303981409386
13,58376.1846901938
14,58376.18428352906
15,58986.476068815566
16,58986.46560311857
17,59152.75879498539
18,59187.360322684646
19,59561.672113317836
20,59638.08909673679
21,59638.09197669538
22,60039.6414621346
23,60039.65102091458
