,Hypervolume
0,40461.72329831979
1,40461.784201131864
2,50057.196141790715
3,57594.88060253381
4,59238.65968359342
5,59238.65968359342
6,59238.65968359342
7,59238.65968359342
8,60574.51680015186
9,60820.43729176876
10,60830.76844012531
11,60942.9868925459
12,60942.98915449089
13,61038.9233730969
14,63364.51160546359
15,63364.508019189336
16,63304.79845252156
17,63213.59409334345
18,64175.6339828144
19,64175.63080671594
20,64175.636265370675
21,64185.555901521875
22,64195.66898092108
23,64196.091006080824
