,Hypervolume
0,21536.721566925124
1,46650.01231794262
2,53634.18465268572
3,54245.87361262595
4,54213.74987467119
5,55438.30904144862
6,55438.30749406543
7,55703.596762039204
8,56023.178830427365
9,56023.02169402068
10,57921.93986141251
11,58370.981546678086
12,58894.745775249256
13,58897.306320338495
14,59167.10281437549
15,59164.5131520111
16,60583.44901773814
17,60529.35139186842
18,60528.7341109911
19,60529.34528859846
20,60529.173910471785
21,60529.208216983956
22,60529.24373265723
23,61416.88909668494
