,Hypervolume
0,42735.93045637521
1,43398.57023169707
2,47091.06838804092
3,50349.66715824022
4,51428.09023731263
5,52322.49185000883
6,53437.503904582925
7,53712.60641718071
8,54503.54883714666
9,55147.04984138253
10,56111.33057800532
11,56379.14929671862
12,56422.89681019537
13,57650.84274572798
14,58365.161300220614
15,58347.79721622845
16,58347.79924892847
17,58349.05752555703
18,59209.78453626211
19,59212.97919907923
20,59212.97692352626
21,59490.92913114684
22,59490.9298073597
23,59494.52119988539
