,Utility_sampled,Utility,Best_Utility
0,-0.06321571839438057,-0.08498776096221804,-0.00022172837468566707
1,-0.06321571839438057,-0.20385352811052754,-0.00022172837468566707
2,-0.03434772462176027,-0.03434772462176027,-0.00022172837468566707
3,-0.010821139780421452,-0.010821139780421452,-0.00022172837468566707
4,-0.010821139780421452,-0.04675503304902008,-0.00022172837468566707
5,-0.010821139780421452,-0.09250870037977243,-0.00022172837468566707
6,-0.010821139780421452,-0.029442952358709217,-0.00022172837468566707
7,-0.010821139780421452,-0.026671935081256783,-0.00022172837468566707
8,-0.0047451378966254735,-0.0047451378966254735,-0.00022172837468566707
9,-0.0047451378966254735,-0.008193130235193039,-0.00022172837468566707
