,Utility_sampled
0,48.072027319764125
1,48.072027319764125
2,48.072027319764125
3,48.07202731976413
4,48.07202731976413
5,52.09196944990176
6,52.09196944990177
7,52.09196944990177
8,53.74600212739968
9,54.21212514515417
10,54.21212514515417
11,54.21212514515417
12,54.21212514515417
13,54.21212514515417
14,54.21212514515417
15,55.16801312244456
16,55.444731697996744
17,55.444731697996744
18,55.444731697996744
19,55.444731697996744
20,55.444731697996744
21,55.444731697996744
