,Hypervolume
0,1.2908702923325228
1,1.576730816668749
2,1.670801014134991
3,1.6852869747351256
4,1.666703872776524
5,1.6667035905411907
6,1.6695611686693712
7,1.8243090767303451
8,1.8634711306002494
9,1.8600011562630705
10,1.8628433860933522
11,1.9519237397021758
12,1.9519237397021758
13,1.9632459764619061
14,1.957644801641551
15,2.626467580235695
16,2.6264676000702356
17,2.626467603975739
18,2.7938795584228258
19,2.793879558422826
20,2.793879558422826
21,2.793879558422826
22,2.891230193134643
23,2.891743609916168
