,Hypervolume
0,1.8635738237359674
1,2.1292963885520493
2,2.132357781362038
3,2.1342894061719138
4,2.1330002891143973
5,2.234547418289178
6,2.283779095144059
7,2.434221112256863
8,2.4377268358025903
9,2.438875091928532
10,2.438874403178315
11,2.4388739216622812
12,2.438472081626975
13,2.4369989740637745
14,2.4369989740637745
15,2.4369989740637745
16,2.7479183641152263
17,2.7479183641152263
18,2.8826696394493903
19,2.797488337699761
20,2.8027462842568864
21,2.802454400202957
22,2.8027234468795625
23,2.89287833725023
