,Hypervolume
0,2.326430580178388
1,1.80027948168754
2,1.8045745555427932
3,2.419507544155403
4,2.419503753118759
5,2.510684798652795
6,2.719596078609979
7,2.633350842208622
8,2.626995703411877
9,2.6639822960997934
10,2.8209114687079397
11,2.892578249017798
12,2.8429955099969986
13,2.961972321988954
14,3.0305587311571793
15,2.9068987391621475
16,3.088334606983781
17,2.9654559311119915
18,2.903112965646062
19,2.9129160435870842
20,2.893454826337024
21,2.912943687348112
22,2.944848266273393
23,2.915046555163892
