,Hypervolume
0,1.9651534297037334
1,1.956961492558605
2,1.8996442076171507
3,2.1997409992767354
4,2.728216203932969
5,2.75862646222983
6,2.757903166358844
7,2.786123675263865
8,2.7583756300418196
9,2.759862110287213
10,2.758590969980034
11,2.7593459825944615
12,2.7593459546974417
13,2.7602209634377264
14,2.7606772631556895
15,2.7715806208738263
16,2.8019426006665213
17,2.8900826628821035
18,2.8924772966547803
19,2.894103026478799
20,2.894476476289391
21,2.8942307496841835
22,2.910453450424308
23,2.9104356173408608
