,Hypervolume
0,1.8237096773225807
1,1.8237096773225807
2,2.4518531804507435
3,2.514989489391878
4,2.5411728638148023
5,2.547509800730376
6,2.5475098544587462
7,2.54750988948593
8,2.547509846222381
9,2.5480510763074022
10,2.5475190502842313
11,2.5475190502842313
12,2.5475190502842313
13,2.5475190502842313
14,2.616745866511911
15,2.6226219971793583
16,2.6226218723755803
17,2.6434924480888755
18,2.6434924077635866
19,2.6432084261252156
20,2.6434921435486576
21,2.6435131584680223
22,2.6439794748603322
23,2.6528312351595718
