,Hypervolume
0,2.641439144875293
1,2.6381578934842107
2,2.6381578934842107
3,2.6381578934842107
4,2.6381578934842107
5,2.7096354761871257
6,2.7250450458688977
7,2.725495367938917
8,2.717701396915688
9,2.7388245771764703
10,2.7544372249557494
11,2.7535583404122175
12,2.864328516283595
13,2.888855087489964
14,2.887027734138319
15,3.019533743600404
16,3.01953415451136
17,3.0195269242853056
18,3.058671722796276
19,3.0586648983998255
20,3.0614941006062533
21,3.061492008921467
22,3.06149136364898
23,3.0614914718305823
