,Hypervolume
0,2.096581549296518
1,2.160665839066069
2,2.1608522274883777
3,2.2234550782325133
4,2.2311735765375547
5,2.2394585397635702
6,2.240607017491815
7,2.3148874710828578
8,2.360197829003895
9,2.3911028432176415
10,2.4065998336249494
11,2.356930780967976
12,2.3600255046490894
13,2.3594124835050323
14,2.3576108322926554
15,2.5398610419494965
16,2.5376756012923707
17,2.644632930965824
18,2.6586711327931676
19,2.6539389720070643
20,2.590152268361609
21,2.6681076052310244
22,2.6784819759801057
23,2.6719759268461925
