,Hypervolume
0,1.2885997893944254
1,1.6421181139576344
2,1.6421188247865985
3,1.6731397358781146
4,1.6731399206528232
5,1.723859481371185
6,1.7230897195773347
7,1.7395609414136464
8,1.7445351660058213
9,1.9853747828216717
10,1.9853748036818941
11,1.9853769253855784
12,1.9848935453459267
13,1.9847181563164598
14,1.9847179563900226
15,1.9847178217506984
16,1.9837018460511215
17,1.9837018460511215
18,1.9837018460511215
19,1.9839240890535985
20,2.295359831606759
21,2.365247352791317
22,2.292323583477355
23,2.275966328382208
