,Hypervolume
0,2.6202403106679624
1,2.668794087733874
2,2.630281935251685
3,2.722631225660157
4,2.7159261967845785
5,2.8829120383473974
6,2.83342769582711
7,2.7842668640035355
8,2.867422869924795
9,3.022052040565642
10,2.9401743806703386
11,2.8970410749642017
12,2.9717512099022887
13,2.97827008717687
14,2.9440964602384145
15,2.9444254837099644
16,2.988606540043685
17,2.94654895505641
18,2.946583713420309
19,2.9465776085694864
20,2.9497002976584756
21,2.9497173329061575
22,2.9497094408489164
23,2.8946874037306545
