,Utility_sampled,Utility,Best_Utility
0,-2.0491724111272362,-2.0491724111272362,-0.3542312603446392
1,-0.8512295424053945,-0.8512295424053945,-0.3542312603446392
2,-0.8512295424053945,-0.8775852010596024,-0.3542312603446392
3,-0.8512295424053945,-4.078405862799686,-0.3542312603446392
4,-0.8512295424053945,-2.403820206279625,-0.3542312603446392
5,-0.8512295424053945,-4.006367010466042,-0.3542312603446392
6,-0.8512295424053945,-1.2201447016852947,-0.3542312603446392
7,-0.805992583227655,-0.805992583227655,-0.3542312603446392
8,-0.805992583227655,-1.1236009947611305,-0.3542312603446392
9,-0.805992583227655,-0.7090188252072983,-0.3542312603446392
10,-0.805992583227655,-0.6429557177692476,-0.3542312603446392
11,-0.40951336490079904,-0.40951336490079904,-0.3542312603446392
12,-0.40951336490079904,-0.513444921559583,-0.3542312603446392
13,-0.4311188424796466,-0.4311188424796466,-0.3542312603446392
14,-0.4652478347344025,-0.4652478347344025,-0.3542312603446392
