,Utility_sampled,Utility,Best_Utility,Utility_sampled_all_front
0,0.17428580291064566,0.05246545123475141,0.22833822578250576,0.17428580291064566
1,0.1509961620956988,0.1509961620956988,0.22833822578250576,0.17428580291064566
2,0.19423961784263055,0.19423961784263055,0.22833822578250576,0.19423961784263055
3,0.19423961784263055,0.20926404673750712,0.22833822578250576,0.20926404673750712
4,0.22280403949970376,0.22280403949970376,0.22833822578250576,0.22280403949970376
5,0.22280403949970376,0.18375265629889184,0.22833822578250576,0.22280403949970376
6,0.21693329098272715,0.21693329098272715,0.22833822578250576,0.22280403949970376
7,0.21693329098272715,0.18453718457342697,0.22833822578250576,0.22280403949970376
8,0.21693329098272715,0.22357721951961088,0.22833822578250576,0.22357721951961088
9,0.21693329098272715,0.1864575509383377,0.22833822578250576,0.22357721951961088
10,0.21693329098272715,0.20392491518114916,0.22833822578250576,0.22357721951961088
11,0.21693329098272715,0.21193297556332252,0.22833822578250576,0.22357721951961088
