,Utility,Utility_sampled,Best_Utility
0,-3.5502400949302237,-1.4801285539254987,-0.43670373701676213
1,-5.446369990424806,-1.4801285539254987,-0.43670373701676213
2,-1.7965404469620776,-1.4801285539254987,-0.43670373701676213
3,-2.6712530398147476,-1.4801285539254987,-0.43670373701676213
4,-0.592523728259921,-0.592523728259921,-0.43670373701676213
5,-1.4780088846894777,-0.592523728259921,-0.43670373701676213
6,-3.5756001065895475,-0.592523728259921,-0.43670373701676213
7,-3.4446209576366402,-0.592523728259921,-0.43670373701676213
8,-1.2084652078681435,-0.592523728259921,-0.43670373701676213
9,-1.1720355805263194,-0.592523728259921,-0.43670373701676213
10,-1.9676211103161065,-0.592523728259921,-0.43670373701676213
11,-0.5709265515141868,-0.5709265515141868,-0.43670373701676213
12,-0.6356377377155841,-0.5709265515141868,-0.43670373701676213
13,-1.6812372596969916,-0.5709265515141868,-0.43670373701676213
