,Utility_sampled,Utility,Best_Utility
0,-1.729293218930213,-1.7965404469620776,-0.4367037044377441
1,-0.7465390099676933,-0.7465390099676933,-0.4367037044377441
2,-0.5920797973018229,-0.5920797973018229,-0.4367037044377441
3,-0.5920797973018229,-1.4921633092584277,-0.4367037044377441
4,-0.5920797973018229,-0.6240753808027665,-0.4367037044377441
5,-0.5920797973018229,-5.2918101091928245,-0.4367037044377441
6,-0.5920797973018229,-3.5719426352968067,-0.4367037044377441
7,-0.5920797973018229,-0.6868344063954538,-0.4367037044377441
8,-0.5292686628660258,-0.5292686628660258,-0.4367037044377441
9,-0.5292686628660258,-3.5756001065895475,-0.4367037044377441
10,-0.5292686628660258,-2.7933841837160314,-0.4367037044377441
11,-0.503543148141064,-0.503543148141064,-0.4367037044377441
