,Utility_sampled,Utility,Best_Utility
0,-2.2580896449256356,-3.5549011413891263,-0.9549550354917137
1,-2.2580896449256356,-5.0,-0.9549550354917137
2,-2.2580896449256356,-4.092399090865593,-0.9549550354917137
3,-1.9386107867122713,-1.9386107867122713,-0.9549550354917137
4,-1.7224694102330336,-1.7224694102330336,-0.9549550354917137
5,-1.7224694102330336,-1.7339306552237956,-0.9549550354917137
6,-1.7224694102330336,-1.8288390889564283,-0.9549550354917137
7,-1.7224694102330336,-2.055455655167119,-0.9549550354917137
8,-1.7224694102330336,-3.4381098331549333,-0.9549550354917137
9,-1.7224694102330336,-4.0709376156497115,-0.9549550354917137
10,-1.7224694102330336,-5.511632765283847,-0.9549550354917137
11,-1.1280172460001965,-1.1280172460001965,-0.9549550354917137
12,-1.1280172460001965,-1.187332371279202,-0.9549550354917137
13,-1.1280172460001965,-1.3813988452534258,-0.9549550354917137
14,-1.147893937342299,-1.147893937342299,-0.9549550354917137
15,-1.147893937342299,-6.336662168768212,-0.9549550354917137
16,-1.147893937342299,-2.999999999999999,-0.9549550354917137
17,-1.147893937342299,-1.404221830434388,-0.9549550354917137
18,-1.147893937342299,-2.5097034052727363,-0.9549550354917137
19,-1.147893937342299,-1.1072346814926033,-0.9549550354917137
20,-1.147893937342299,-2.0584975028493884,-0.9549550354917137
21,-1.0281322674757578,-1.0281322674757578,-0.9549550354917137
22,-1.0281322674757578,-1.2388787944233894,-0.9549550354917137
23,-1.0281322674757578,-1.1372184439016908,-0.9549550354917137
24,-1.0281322674757578,-2.972480040174899,-0.9549550354917137
