,Utility,Utility_sampled,Best_Utility
0,-4.780717987899225,-1.982021441995543,-0.12042268682204219
1,-4.644334984656896,-1.982021441995543,-0.12042268682204219
2,-3.041762855492041,-1.982021441995543,-0.12042268682204219
3,-1.6671163327645242,-1.6671163327645242,-0.12042268682204219
4,-1.4535722861374405,-1.4535722861374405,-0.12042268682204219
5,-1.3550851998378155,-1.3550851998378155,-0.12042268682204219
6,-1.1363033785052323,-1.1363033785052323,-0.12042268682204219
7,-1.178121561261169,-1.1363033785052323,-0.12042268682204219
8,-1.6796638162271544,-1.1363033785052323,-0.12042268682204219
9,-1.6959438299208551,-1.1363033785052323,-0.12042268682204219
10,-0.4819860478812375,-0.4819860478812375,-0.12042268682204219
11,-0.7876832724160929,-0.4819860478812375,-0.12042268682204219
12,-0.43252447548078915,-0.43252447548078915,-0.12042268682204219
13,-2.033054342314024,-0.43252447548078915,-0.12042268682204219
