,Utility_sampled,Utility,Best_Utility
0,3.077141350092134e-05,1.9119479141084303e-05,7.875547368416204e-05
1,4.0161201822179415e-05,4.4451368396666524e-05,7.875547368416204e-05
2,4.0161201822179415e-05,2.4131298209364784e-05,7.875547368416204e-05
3,3.077141350092134e-05,2.7342729606206055e-05,7.875547368416204e-05
4,4.0161201822179415e-05,1.600734753129506e-05,7.875547368416204e-05
5,3.077141350092134e-05,5.981100228593797e-05,7.875547368416204e-05
6,3.077141350092134e-05,3.931181052105467e-05,7.875547368416204e-05
7,4.0161201822179415e-05,3.513162112289145e-05,7.875547368416204e-05
8,3.077141350092134e-05,5.086441869525569e-05,7.875547368416204e-05
9,3.3772720739398584e-05,3.3772720739398584e-05,7.875547368416204e-05
10,3.3772720739398584e-05,3.634186253459745e-05,7.875547368416204e-05
11,3.3772720739398584e-05,3.754183030833763e-05,7.875547368416204e-05
12,3.3772720739398584e-05,5.873751436755015e-05,7.875547368416204e-05
13,3.3772720739398584e-05,3.86027744439205e-05,7.875547368416204e-05
14,5.873751436755015e-05,7.402365052368213e-05,7.875547368416204e-05
15,3.86027744439205e-05,6.387709266226741e-05,7.875547368416204e-05
16,7.858045066377944e-05,7.858045066377944e-05,7.875547368416204e-05
17,7.858045066377944e-05,1.3942738402129894e-33,7.875547368416204e-05
18,7.858045066377944e-05,7.871925323040109e-05,7.875547368416204e-05
19,7.858045066377944e-05,7.859580943763086e-05,7.875547368416204e-05
