,Hypervolume
0,41788.92503464379
1,50388.150147078864
2,56894.845596909545
3,58762.49250331022
4,58807.66248632838
5,59449.46589013199
6,59455.22064884439
7,59442.94431895906
8,62878.44567496664
9,63469.1413731652
10,64114.984522433195
11,64551.32731219519
12,64919.33922503998
13,65177.90578763635
14,65350.779995144134
15,66675.68430275645
16,66843.23359341203
17,66987.08499554191
18,67087.28133319085
19,68158.47961944858
20,68274.82778911888
21,68389.27576693632
22,68505.46342112686
23,68595.11227316495
