,Hypervolume
0,21536.721566925124
1,24101.69750075388
2,23983.275356859784
3,33881.54042984754
4,31301.932592444104
5,36521.81958696203
6,34347.81646935596
7,40419.280462608265
8,40203.60257015398
9,40790.53179660808
10,41943.156489055196
11,51167.249188368965
12,57559.11017216219
13,62304.742513142075
14,64548.20640356437
15,64557.266215844546
16,64764.57757503842
17,64940.52904962003
18,65655.54938713775
19,65883.94802586487
20,66076.92347108101
21,66552.4639855477
22,66706.36304853181
23,66923.01067491737
