,Hypervolume
0,35772.38271094038
1,50196.918452306076
2,53704.51772533817
3,54226.89570073605
4,56603.784806570955
5,57618.52760854275
6,58131.99511046766
7,59327.648165745224
8,60344.128372793595
9,61560.590022965494
10,62390.633778400006
11,62977.22484106818
12,63751.8878716928
13,64975.54808320315
14,65104.94719175589
15,65238.49394576129
16,65575.4584225275
17,64980.97570284422
18,65614.30705880985
19,65996.04592031147
20,66143.80326641357
21,66825.17858987328
22,66833.29161501206
23,67092.43893343717
