,Hypervolume
0,46659.38139201877
1,49723.44853268383
2,52064.61315090027
3,54585.04017500759
4,54592.4286652336
5,55218.48636923054
6,56055.12640867152
7,56755.543467675525
8,59013.72473777897
9,59317.429248114124
10,59637.92119651296
11,61530.297932535614
12,61916.3835403177
13,62178.152045506635
14,62501.83950218503
15,63831.29814040749
16,64065.5015787421
17,64924.39602476501
18,65176.97347956833
19,65259.366131870454
20,66379.97412294272
21,67261.22988068683
22,67371.58410278335
23,67403.13553850149
