,Hypervolume
0,13923.0
1,14390.941486107758
2,15099.08589879851
3,16157.565478916844
4,28664.417401359213
5,36223.438283710624
6,39083.88108840905
7,43117.911073783325
8,44927.40363657281
9,46348.45550620531
10,48420.211988850395
11,52125.85494373585
12,52674.29670912717
13,52844.07461918494
14,53483.12661138949
15,55493.11698093402
16,56259.53444411209
17,58425.198929928825
18,58692.71900406257
19,59175.37825618789
20,59503.1723735383
21,61751.2251256005
22,62051.38045978756
23,63628.85971157071
