,Hypervolume
0,34831.62566195119
1,36975.0912844707
2,43750.50874141068
3,45863.29023186453
4,46232.827352620516
5,57821.324790409206
6,58690.74353901671
7,60886.335781101625
8,63393.21754204717
9,63682.326725147286
10,64453.81286024876
11,65220.372442376494
12,65702.87336660945
13,66146.99852152073
14,66151.71656743377
15,66482.47155130413
16,66865.50376202662
17,67084.81634617726
18,67224.48835080944
19,67472.57478406711
20,67640.42306280514
21,67703.52647539077
22,68279.12409313195
23,68416.0616432324
