,Hypervolume
0,39785.22222406777
1,39918.431393801344
2,42159.19364487621
3,48794.08458462711
4,53082.5090556753
5,52999.08570937363
6,53877.76098090096
7,54128.756997570825
8,55191.295151319515
9,57784.09817239756
10,60204.111082817115
11,62254.33101977926
12,63872.650525584555
13,65316.28717366016
14,66076.51830360056
15,66355.95565993492
16,66450.97892724142
17,66549.65340566273
18,66700.96199493446
19,67228.5072611214
20,67494.5018112559
21,67481.09890367163
22,68002.67370063176
23,68119.42694594988
