,Utility_sampled,Utility,Best_Utility
0,-0.6753049862610334,-3.0305979090776507,-0.4829789619756412
1,-0.6753049862610334,-1.104711909822179,-0.4829789619756412
2,-0.6753049862610334,-1.1833623066590409,-0.4829789619756412
3,-0.6753049862610334,-3.0662386379002116,-0.4829789619756412
4,-0.6606529601246041,-0.6606529601246041,-0.4829789619756412
5,-0.6606529601246041,-0.9709150215287801,-0.4829789619756412
6,-0.6606529601246041,-0.6221139956467411,-0.4829789619756412
7,-0.6606529601246041,-0.786170657923386,-0.4829789619756412
8,-0.5822665740300713,-0.5822665740300713,-0.4829789619756412
9,-0.5822665740300713,-0.732469911469047,-0.4829789619756412
10,-0.5822665740300713,-0.621604640313672,-0.4829789619756412
11,-0.5822665740300713,-1.251649888112704,-0.4829789619756412
12,-0.5822665740300713,-3.0714815159525184,-0.4829789619756412
13,-0.5253651525281036,-0.5253651525281036,-0.4829789619756412
14,-0.5253651525281036,-2.418333010815506,-0.4829789619756412
15,-0.5253651525281036,-1.8426511333362103,-0.4829789619756412
16,-0.49489895818153085,-0.49489895818153085,-0.4829789619756412
17,-0.49489895818153085,-0.9141734881633188,-0.4829789619756412
18,-0.49489895818153085,-0.50208066605332,-0.4829789619756412
19,-0.49489895818153085,-3.537881904448934,-0.4829789619756412
