,Utility,Utility_sampled,Best_Utility
0,-3.310845798541306,-2.1069790191394207,-0.8388434337966122
1,-4.447532044847868,-2.1069790191394207,-0.8388434337966122
2,-4.336454433713413,-2.1069790191394207,-0.8388434337966122
3,-1.4446490626692448,-1.4446490626692448,-0.8388434337966122
4,-0.9215675140232004,-0.9215675140232004,-0.8388434337966122
5,-3.036253662972514,-0.9215675140232004,-0.8388434337966122
6,-1.0739498137018106,-0.9215675140232004,-0.8388434337966122
7,-2.2351157622650866,-0.9215675140232004,-0.8388434337966122
8,-1.226920150456662,-0.9215675140232004,-0.8388434337966122
9,-1.3966553347482868,-0.9215675140232004,-0.8388434337966122
10,-1.3525909203838606,-0.9215675140232004,-0.8388434337966122
11,-0.9570811904413308,-0.9215675140232004,-0.8388434337966122
