,Utility_sampled,Utility,Best_Utility
0,3.888623500855236e-05,3.888623500855236e-05,7.882043325826024e-05
1,3.888623500855236e-05,2.1739506859659407e-05,7.882043325826024e-05
2,4.7662126676127316e-05,6.0350921718017553e-05,7.882043325826024e-05
3,3.784219277298851e-05,3.784219277298851e-05,7.882043325826024e-05
4,3.888623500855236e-05,2.0948979747862684e-05,7.882043325826024e-05
5,3.784219277298851e-05,2.150919482754336e-05,7.882043325826024e-05
6,3.784219277298851e-05,3.076044248987128e-05,7.882043325826024e-05
7,6.0350921718017553e-05,3.696536868157074e-05,7.882043325826024e-05
8,3.696536868157074e-05,6.452534674584987e-05,7.882043325826024e-05
9,3.696536868157074e-05,3.5015369516735714e-05,7.882043325826024e-05
10,3.696536868157074e-05,5.1115288152727246e-05,7.882043325826024e-05
11,3.5015369516735714e-05,2.7900616624448985e-05,7.882043325826024e-05
12,7.495525052582845e-05,7.495525052582845e-05,7.882043325826024e-05
13,7.495525052582845e-05,7.80593579593309e-05,7.882043325826024e-05
14,7.495525052582845e-05,7.381040437892341e-05,7.882043325826024e-05
15,7.381040437892341e-05,7.6584682396366e-05,7.882043325826024e-05
16,7.381040437892341e-05,7.867294447025872e-05,7.882043325826024e-05
17,7.381040437892341e-05,7.827161388112716e-05,7.882043325826024e-05
18,7.381040437892341e-05,7.86722914042676e-05,7.882043325826024e-05
19,7.495525052582845e-05,7.853096454501314e-05,7.882043325826024e-05
